restaurantId,restaurant_name,user_id,date,count_star_ratings,count_checkin,ratings,useful_count,funny_count,cool_count,reviews_count,useful_clicked,funny_clicked,cool_clicked,review
9000090,TuLan999989j,188831,Fri Feb 13 2015 14:47:16 GMT-0800 (PST),2,6,1,1,0,0,653,false,false,false,"Health goth chartreuse raw denim wolf. Sustainable marfa occupy echo park ugh waistcoat hoodie. Fanny pack normcore organic microdosing, XOXO 3 wolf moon leggings. Gastropub health goth post-ironic selfies."
9000091,TuLan999990j,311151,Sat Mar 03 2018 09:56:22 GMT-0800 (PST),4,4,5,3,2,0,674,false,false,false,"Organic freegan sustainable food truck gastropub squid tattooed. Everyday carry butcher literally authentic semiotics actually squid small batch jianbing glossier freegan yuccie unicorn migas."
9000092,TuLan999991j,404057,Fri Dec 01 2017 06:59:26 GMT-0800 (PST),4,4,4,1,2,1,339,false,false,false,"Cliche iPhone YOLO, health goth hexagon selvage chia cred pitchfork chicharrones raclette. Franzen hell of shaman neutra lomo green juice kogi ethical tousled mlkshk knausgaard truffaut. Pickled direct trade polaroid art party."
9000093,TuLan999992j,516163,Tue Aug 23 2016 14:08:01 GMT-0700 (PDT),5,6,2,0,3,2,416,false,false,false,"Microdosing activated charcoal raw denim kombucha normcore blog truffaut retro meggings helvetica locavore keytar brunch. Taiyaki schlitz ugh hot chicken mixtape. Single-origin coffee normcore cronut church-key echo park."
9000094,TuLan999993j,472858,Sat Sep 19 2015 06:52:04 GMT-0700 (PDT),3,8,4,1,1,1,625,false,false,false,"Unicorn pok pok meggings iceland. Lo-fi XOXO tofu semiotics mixtape next level skateboard affogato raw denim art party literally austin normcore wayfarers."
9000095,TuLan999994j,533126,Sat Jun 11 2016 18:47:41 GMT-0700 (PDT),1,1,3,3,1,3,499,false,false,false,"Unicorn hoodie banh mi slow-carb irony lyft hell of mustache VHS edison bulb freegan cronut pickled adaptogen yuccie. Taxidermy pickled blog lomo raw denim photo booth."
9000096,TuLan999995j,534990,Thu Mar 26 2015 19:25:52 GMT-0700 (PDT),1,1,5,3,2,2,271,false,false,false,"Cliche iPhone YOLO, health goth hexagon selvage chia cred pitchfork chicharrones raclette. Franzen hell of shaman neutra lomo green juice kogi ethical tousled mlkshk knausgaard truffaut. Pickled direct trade polaroid art party."
9000097,TuLan999996j,633895,Mon Sep 25 2017 08:40:25 GMT-0700 (PDT),4,0,3,0,1,2,281,false,false,false,"Edison bulb church-key disrupt coloring book skateboard narwhal, lo-fi austin hexagon snackwave flannel. Scenester portland listicle, twee helvetica yr shoreditch marfa lyft kinfolk cold-pressed authentic tumblr."
9000098,TuLan999997j,980456,Wed Dec 07 2016 17:22:50 GMT-0800 (PST),2,0,4,2,0,2,218,false,false,false,"Kitsch lomo jean shorts portland, twee roof party paleo iceland actually four loko. Cliche succulents bespoke pour-over hot chicken activated charcoal, jean shorts wolf literally austin unicorn letterpress."
9000099,TuLan999998j,354850,Fri Aug 07 2015 11:34:56 GMT-0700 (PDT),1,7,4,2,2,0,665,false,false,false,"Organic freegan sustainable food truck gastropub squid tattooed. Everyday carry butcher literally authentic semiotics actually squid small batch jianbing glossier freegan yuccie unicorn migas."
9000100,TuLan999999j,412507,Tue Mar 28 2017 15:42:27 GMT-0700 (PDT),5,7,2,1,2,0,377,false,false,false,"Tilde banh mi vexillologist lyft, four loko taxidermy cronut photo booth street art ennui keytar direct trade swag freegan. Asymmetrical street art meh, squid vinyl sriracha lomo portland. Green juice cold-pressed drinking vinegar trust fund pickled, yr copper mug stumptown actually williamsburg."
